GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Asian Indian,Margin of Error; Total: - Asian Indian,Estimate; Total: - Bangladeshi,Margin of Error; Total: - Bangladeshi,Estimate; Total: - Cambodian,Margin of Error; Total: - Cambodian,"Estimate; Total: - Chinese , except Taiwanese","Margin of Error; Total: - Chinese , except Taiwanese",Estimate; Total: - Filipino,Margin of Error; Total: - Filipino,Estimate; Total: - Hmong,Margin of Error; Total: - Hmong,Estimate; Total: - Indonesian,Margin of Error; Total: - Indonesian,Estimate; Total: - Japanese,Margin of Error; Total: - Japanese,Estimate; Total: - Korean,Margin of Error; Total: - Korean,Estimate; Total: - Laotian,Margin of Error; Total: - Laotian,Estimate; Total: - Malaysian,Margin of Error; Total: - Malaysian,Estimate; Total: - Pakistani,Margin of Error; Total: - Pakistani,Estimate; Total: - Sri Lankan,Margin of Error; Total: - Sri Lankan,Estimate; Total: - Taiwanese,Margin of Error; Total: - Taiwanese,Estimate; Total: - Thai,Margin of Error; Total: - Thai,Estimate; Total: - Vietnamese,Margin of Error; Total: - Vietnamese,Estimate; Total: - Other Asian,Margin of Error; Total: - Other Asian,"Estimate; Total: - Other Asian, not specified","Margin of Error; Total: - Other Asian, not specified"
0500000US01001,01001,"Autauga County, Alabama",500,111,0,27,0,27,0,27,377,151,47,47,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,47,78,0,27,29,43
0500000US01003,01003,"Baldwin County, Alabama",1256,269,117,177,0,27,0,27,420,231,273,136,0,27,0,27,49,52,79,61,0,27,0,27,0,27,0,27,0,27,138,175,119,160,61,105,0,27
0500000US01005,01005,"Barbour County, Alabama",204,152,0,21,0,21,0,21,0,21,3,7,0,21,0,21,0,21,19,24,0,21,0,21,0,21,0,21,0,21,0,21,167,148,15,27,0,21
0500000US01007,01007,"Bibb County, Alabama",19,24,0,21,0,21,0,21,0,21,13,20,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,6,13
0500000US01009,01009,"Blount County, Alabama",57,38,2,4,0,27,0,27,19,26,8,10,0,27,0,27,0,27,25,29,0,27,0,27,0,27,0,27,0,27,1,2,0,27,0,27,2,6
0500000US01011,01011,"Bullock County, Alabama",6,12,6,12,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0500000US01013,01013,"Butler County, Alabama",118,85,9,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,66,64,0,21,0,21,0,21,0,21,0,21,0,21,43,55,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",939,163,38,66,0,27,20,33,104,151,92,81,0,27,0,27,64,52,378,177,0,27,0,27,33,37,0,27,0,27,193,205,17,21,0,27,0,27
0500000US01017,01017,"Chambers County, Alabama",214,31,9,16,0,24,0,24,0,24,35,32,0,24,0,24,1,2,158,49,3,5,0,24,0,24,0,24,0,24,8,9,0,24,0,24,0,24
