"county"	"total"	"thai_num"	"thai_per"	"thai_vwell"	"thai_vwell_per"	"thai_less"	"thai_less_per"	"engagement"	"environment"	"health"	"housing"	"neighborhood"	"opportunity"	"transportation"
"Autauga County, Alabama"	500	0	0	0	NA	0	NA	64	57	34	58	37	41	34
"Baldwin County, Alabama"	1256	138	0.109872611464968	0	0	138	1	64	60	48	54	36	40	44
"Barbour County, Alabama"	204	0	0	0	NA	0	NA	52	24	15	66	32	34	47
"Bibb County, Alabama"	19	0	0	0	NA	0	NA	34	57	17	43	31	53	34
"Blount County, Alabama"	57	1	0.0175438596491228	0	0	1	1	42	59	29	44	37	65	34
"Bullock County, Alabama"	6	0	0	0	NA	0	NA	50	35	16	68	31	30	37
"Butler County, Alabama"	118	0	0	0	NA	0	NA	66	26	17	68	30	39	37
"Calhoun County, Alabama"	939	193	0.205537806176784	184	0.953367875647668	0	0	60	56	33	58	35	45	36
"Chambers County, Alabama"	214	8	0.0373831775700935	4	0.5	4	0.5	54	59	20	58	32	30	42
"Cherokee County, Alabama"	90	0	0	0	NA	0	NA	50	60	25	60	27	22	37
"Chilton County, Alabama"	104	11	0.105769230769231	0	0	0	0	42	56	23	35	30	57	33
"Choctaw County, Alabama"	8	0	0	0	NA	0	NA	62	58	18	60	28	35	34
"Clarke County, Alabama"	51	0	0	0	NA	0	NA	74	40	21	65	30	34	40
"Clay County, Alabama"	0	0	NA	0	NA	0	NA	48	58	18	70	33	47	41
"Cleburne County, Alabama"	69	0	0	0	NA	0	NA	44	43	28	57	30	40	33
"Coffee County, Alabama"	696	1	0.0014367816091954	0	0	1	1	68	61	36	58	34	51	42
"Colbert County, Alabama"	190	7	0.0368421052631579	0	0	7	1	62	71	31	60	39	58	42
"Conecuh County, Alabama"	10	0	0	0	NA	0	NA	71	60	10	65	24	25	33
"Coosa County, Alabama"	0	0	NA	0	NA	0	NA	48	60	15	53	35	36	34
"Covington County, Alabama"	134	8	0.0597014925373134	0	0	14	1.75	64	60	26	61	33	42	40
"Crenshaw County, Alabama"	228	0	0	0	NA	0	NA	49	60	19	65	29	41	41
"Cullman County, Alabama"	401	0	0	0	NA	0	NA	55	56	27	52	34	46	39
"Dale County, Alabama"	599	7	0.011686143572621	7	1	7	1	59	60	25	60	36	46	41
"Dallas County, Alabama"	55	0	0	0	NA	0	NA	74	58	13	63	33	29	47
"DeKalb County, Alabama"	206	0	0	0	NA	0	NA	63	66	25	65	42	47	37
"Elmore County, Alabama"	617	0	0	15	Inf	0	NA	55	59	32	56	40	38	35
"Escambia County, Alabama"	52	26	0.5	0	0	0	0	48	46	19	57	32	45	38
"Etowah County, Alabama"	696	21	0.0301724137931034	9	0.428571428571429	0	0	62	58	30	61	35	51	37
"Fayette County, Alabama"	42	0	0	0	NA	0	NA	48	60	21	66	32	40	44
"Franklin County, Alabama"	23	0	0	0	NA	0	NA	49	59	21	67	35	49	38
"Geneva County, Alabama"	109	0	0	0	NA	0	NA	43	60	18	59	34	46	40
"Greene County, Alabama"	10	0	0	0	NA	0	NA	57	21	5	82	25	17	26
"Hale County, Alabama"	41	0	0	0	NA	0	NA	45	60	17	65	32	16	32
"Henry County, Alabama"	218	0	0	0	NA	0	NA	58	61	21	56	35	48	37
"Houston County, Alabama"	845	22	0.0260355029585799	5	0.227272727272727	2	0.0909090909090909	67	71	24	56	36	45	42
"Jackson County, Alabama"	219	8	0.0365296803652968	0	0	0	0	52	42	28	63	33	47	35
"Jefferson County, Alabama"	10020	31	0.0030938123752495	30	0.967741935483871	61	1.96774193548387	61	52	48	52	43	44	41
"Lamar County, Alabama"	2	0	0	0	NA	0	NA	71	56	19	71	34	33	42
"Lauderdale County, Alabama"	743	30	0.0403768506056528	0	0	12	0.4	60	58	32	59	38	44	43
"Lawrence County, Alabama"	40	0	0	0	NA	0	NA	48	79	16	58	39	54	25
"Lee County, Alabama"	4567	0	0	0	NA	0	NA	50	31	46	54	39	40	55
"Limestone County, Alabama"	1089	0	0	0	NA	0	NA	57	59	36	52	38	57	38
"Lowndes County, Alabama"	0	0	NA	0	NA	0	NA	55	58	16	63	28	13	23
"Macon County, Alabama"	38	0	0	0	NA	0	NA	58	59	27	70	29	31	41
"Madison County, Alabama"	8415	260	0.0308972073677956	166	0.638461538461538	75	0.288461538461538	64	67	51	52	42	48	46
"Marengo County, Alabama"	58	0	0	0	NA	0	NA	76	55	17	65	30	41	40
"Marion County, Alabama"	157	0	0	0	NA	0	NA	57	58	22	71	31	35	39
"Marshall County, Alabama"	512	2	0.00390625	0	0	2	1	51	56	26	59	36	50	42
"Mobile County, Alabama"	7953	118	0.0148371683641393	49	0.415254237288136	93	0.788135593220339	65	50	32	63	38	44	55
"Monroe County, Alabama"	114	0	0	0	NA	0	NA	53	57	26	59	27	40	41
"Montgomery County, Alabama"	5216	45	0.00862730061349693	30	0.666666666666667	26	0.577777777777778	68	69	38	67	41	56	43
"Morgan County, Alabama"	746	24	0.032171581769437	3	0.125	0	0	59	70	35	57	39	43	38
"Perry County, Alabama"	32	0	0	0	NA	0	NA	57	32	14	73	40	34	40
"Pickens County, Alabama"	0	0	NA	0	NA	0	NA	51	30	16	70	31	26	43
"Pike County, Alabama"	724	0	0	0	NA	0	NA	59	52	36	65	31	35	43
"Randolph County, Alabama"	36	0	0	0	NA	0	NA	51	32	18	60	29	24	43
"Russell County, Alabama"	439	0	0	0	NA	0	NA	53	38	35	61	37	41	55
"St. Clair County, Alabama"	577	0	0	0	NA	0	NA	44	39	40	38	35	60	33
"Shelby County, Alabama"	4070	10	0.00245700245700246	19	1.9	0	0	56	64	53	26	43	65	40
"Sumter County, Alabama"	205	31	0.151219512195122	3	0.0967741935483871	0	0	73	56	17	69	28	34	31
"Talladega County, Alabama"	290	0	0	0	NA	0	NA	60	75	22	65	32	44	31
"Tallapoosa County, Alabama"	5	0	0	0	NA	0	NA	61	44	32	60	32	40	42
"Tuscaloosa County, Alabama"	2802	11	0.00392576730906495	0	0	11	1	60	71	32	55	37	43	35
"Walker County, Alabama"	225	10	0.0444444444444444	0	0	10	1	51	76	26	43	32	53	34
"Washington County, Alabama"	191	0	0	0	NA	0	NA	59	38	20	51	25	38	40
"Wilcox County, Alabama"	0	0	NA	0	NA	0	NA	53	42	16	56	28	22	34
"Winston County, Alabama"	30	0	0	0	NA	0	NA	56	60	20	65	30	46	40
"Aleutians East Borough, Alaska"	1071	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Aleutians West Census Area, Alaska"	1955	6	0.0030690537084399	4	0.666666666666667	2	0.333333333333333	61	49	54	46	39	52	48
"Anchorage Municipality, Alaska"	25280	700	0.0276898734177215	420	0.6	395	0.564285714285714	61	49	54	46	39	52	48
"Bethel Census Area, Alaska"	195	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Bristol Bay Borough, Alaska"	7	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Denali Borough, Alaska"	96	21	0.21875	21	1	0	0	61	49	54	46	39	52	48
"Dillingham Census Area, Alaska"	56	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Fairbanks North Star Borough, Alaska"	2665	69	0.025891181988743	41	0.594202898550725	9	0.130434782608696	61	49	54	46	39	52	48
"Haines Borough, Alaska"	49	6	0.122448979591837	3	0.5	3	0.5	61	49	54	46	39	52	48
"Hoonah-Angoon Census Area, Alaska"	42	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Juneau City and Borough, Alaska"	1951	4	0.00205023065094823	2	0.5	0	0	76	74	67	55	41	68	54
"Kenai Peninsula Borough, Alaska"	668	5	0.00748502994011976	27	5.4	7	1.4	61	49	54	46	39	52	48
"Ketchikan Gateway Borough, Alaska"	834	7	0.00839328537170264	0	0	7	1	61	49	54	46	39	52	48
"Kodiak Island Borough, Alaska"	2913	4	0.00137315482320632	6	1.5	14	3.5	61	49	54	46	39	52	48
"Lake and Peninsula Borough, Alaska"	18	0	0	0	NA	0	NA	61	49	54	46	39	52	48
