county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Autauga+County+Alabama,Autauga+County+Alabama,64,57,34,58,37,41,34
Baldwin+County+Alabama,Baldwin+County+Alabama,64,60,48,54,36,40,44
Barbour+County+Alabama,Barbour+County+Alabama,52,24,15,66,32,34,47
Bibb+County+Alabama,Bibb+County+Alabama,34,57,17,43,31,53,34
Blount+County+Alabama,Blount+County+Alabama,42,59,29,44,37,65,34
Bullock+County+Alabama,Bullock+County+Alabama,50,35,16,68,31,30,37
Butler+County+Alabama,Butler+County+Alabama,66,26,17,68,30,39,37
Calhoun+County+Alabama,Calhoun+County+Alabama,60,56,33,58,35,45,36
Chambers+County+Alabama,Chambers+County+Alabama,54,59,20,58,32,30,42
Cherokee+County+Alabama,Cherokee+County+Alabama,50,60,25,60,27,22,37
Chilton+County+Alabama,Chilton+County+Alabama,42,56,23,35,30,57,33
Choctaw+County+Alabama,Choctaw+County+Alabama,62,58,18,60,28,35,34
Clarke+County+Alabama,Clarke+County+Alabama,74,40,21,65,30,34,40
Clay+County+Alabama,Clay+County+Alabama,48,58,18,70,33,47,41
Cleburne+County+Alabama,Cleburne+County+Alabama,44,43,28,57,30,40,33
Coffee+County+Alabama,Coffee+County+Alabama,68,61,36,58,34,51,42
Colbert+County+Alabama,Colbert+County+Alabama,62,71,31,60,39,58,42
Conecuh+County+Alabama,Conecuh+County+Alabama,71,60,10,65,24,25,33
Coosa+County+Alabama,Coosa+County+Alabama,48,60,15,53,35,36,34
Covington+County+Alabama,Covington+County+Alabama,64,60,26,61,33,42,40
Crenshaw+County+Alabama,Crenshaw+County+Alabama,49,60,19,65,29,41,41
Cullman+County+Alabama,Cullman+County+Alabama,55,56,27,52,34,46,39
Dale+County+Alabama,Dale+County+Alabama,59,60,25,60,36,46,41
Dallas+County+Alabama,Dallas+County+Alabama,74,58,13,63,33,29,47
DeKalb+County+Alabama,DeKalb+County+Alabama,63,66,25,65,42,47,37
Elmore+County+Alabama,Elmore+County+Alabama,55,59,32,56,40,38,35
Escambia+County+Alabama,Escambia+County+Alabama,48,46,19,57,32,45,38
Etowah+County+Alabama,Etowah+County+Alabama,62,58,30,61,35,51,37
Fayette+County+Alabama,Fayette+County+Alabama,48,60,21,66,32,40,44
Franklin+County+Alabama,Franklin+County+Alabama,49,59,21,67,35,49,38
Geneva+County+Alabama,Geneva+County+Alabama,43,60,18,59,34,46,40
Greene+County+Alabama,Greene+County+Alabama,57,21,5,82,25,17,26
Hale+County+Alabama,Hale+County+Alabama,45,60,17,65,32,16,32
Henry+County+Alabama,Henry+County+Alabama,58,61,21,56,35,48,37
Houston+County+Alabama,Houston+County+Alabama,67,71,24,56,36,45,42
Jackson+County+Alabama,Jackson+County+Alabama,52,42,28,63,33,47,35
Jefferson+County+Alabama,Jefferson+County+Alabama,61,52,48,52,43,44,41
Lamar+County+Alabama,Lamar+County+Alabama,71,56,19,71,34,33,42
Lauderdale+County+Alabama,Lauderdale+County+Alabama,60,58,32,59,38,44,43
Lawrence+County+Alabama,Lawrence+County+Alabama,48,79,16,58,39,54,25
Lee+County+Alabama,Lee+County+Alabama,50,31,46,54,39,40,55
Limestone+County+Alabama,Limestone+County+Alabama,57,59,36,52,38,57,38
Lowndes+County+Alabama,Lowndes+County+Alabama,55,58,16,63,28,13,23
Macon+County+Alabama,Macon+County+Alabama,58,59,27,70,29,31,41
Madison+County+Alabama,Madison+County+Alabama,64,67,51,52,42,48,46
Marengo+County+Alabama,Marengo+County+Alabama,76,55,17,65,30,41,40
Marion+County+Alabama,Marion+County+Alabama,57,58,22,71,31,35,39
Marshall+County+Alabama,Marshall+County+Alabama,51,56,26,59,36,50,42
Mobile+County+Alabama,Mobile+County+Alabama,65,50,32,63,38,44,55
Monroe+County+Alabama,Monroe+County+Alabama,53,57,26,59,27,40,41
Montgomery+County+Alabama,Montgomery+County+Alabama,68,69,38,67,41,56,43
Morgan+County+Alabama,Morgan+County+Alabama,59,70,35,57,39,43,38
Perry+County+Alabama,Perry+County+Alabama,57,32,14,73,40,34,40
Pickens+County+Alabama,Pickens+County+Alabama,51,30,16,70,31,26,43
Pike+County+Alabama,Pike+County+Alabama,59,52,36,65,31,35,43
Randolph+County+Alabama,Randolph+County+Alabama,51,32,18,60,29,24,43
Russell+County+Alabama,Russell+County+Alabama,53,38,35,61,37,41,55
St.+Clair+County+Alabama,St.+Clair+County+Alabama,44,39,40,38,35,60,33
Shelby+County+Alabama,Shelby+County+Alabama,56,64,53,26,43,65,40
Sumter+County+Alabama,Sumter+County+Alabama,73,56,17,69,28,34,31
Talladega+County+Alabama,Talladega+County+Alabama,60,75,22,65,32,44,31
Tallapoosa+County+Alabama,Tallapoosa+County+Alabama,61,44,32,60,32,40,42
Tuscaloosa+County+Alabama,Tuscaloosa+County+Alabama,60,71,32,55,37,43,35
Walker+County+Alabama,Walker+County+Alabama,51,76,26,43,32,53,34
Washington+County+Alabama,Washington+County+Alabama,59,38,20,51,25,38,40
Wilcox+County+Alabama,Wilcox+County+Alabama,53,42,16,56,28,22,34
Winston+County+Alabama,Winston+County+Alabama,56,60,20,65,30,46,40
Aleutians+East+Borough+Alaska,Aleutians+East+Borough+Alaska,61,49,54,46,39,52,48
Aleutians+West+Census+Area+Alaska,Aleutians+West+Census+Area+Alaska,61,49,54,46,39,52,48
Anchorage+Municipality+Alaska,Anchorage+Municipality+Alaska,61,49,54,46,39,52,48
Bethel+Census+Area+Alaska,Bethel+Census+Area+Alaska,61,49,54,46,39,52,48
Bristol+Bay+Borough+Alaska,Bristol+Bay+Borough+Alaska,61,49,54,46,39,52,48
Denali+Borough+Alaska,Denali+Borough+Alaska,61,49,54,46,39,52,48
Dillingham+Census+Area+Alaska,Dillingham+Census+Area+Alaska,61,49,54,46,39,52,48
Fairbanks+North+Star+Borough+Alaska,Fairbanks+North+Star+Borough+Alaska,61,49,54,46,39,52,48
Haines+Borough+Alaska,Haines+Borough+Alaska,61,49,54,46,39,52,48
Hoonah-Angoon+Census+Area+Alaska,Hoonah-Angoon+Census+Area+Alaska,61,49,54,46,39,52,48
Juneau+City+and+Borough+Alaska,Juneau+City+and+Borough+Alaska,76,74,67,55,41,68,54
Kenai+Peninsula+Borough+Alaska,Kenai+Peninsula+Borough+Alaska,61,49,54,46,39,52,48
Ketchikan+Gateway+Borough+Alaska,Ketchikan+Gateway+Borough+Alaska,61,49,54,46,39,52,48
Kodiak+Island+Borough+Alaska,Kodiak+Island+Borough+Alaska,61,49,54,46,39,52,48
Lake+and+Peninsula+Borough+Alaska,Lake+and+Peninsula+Borough+Alaska,61,49,54,46,39,52,48
Matanuska-Susitna+Borough+Alaska,Matanuska-Susitna+Borough+Alaska,61,49,54,46,39,52,48
Nome+Census+Area+Alaska,Nome+Census+Area+Alaska,61,49,54,46,39,52,48
North+Slope+Borough+Alaska,North+Slope+Borough+Alaska,61,49,54,46,39,52,48
Northwest+Arctic+Borough+Alaska,Northwest+Arctic+Borough+Alaska,61,49,54,46,39,52,48
Petersburg+Borough+Alaska,Petersburg+Borough+Alaska,,,,,,,
Prince+of+Wales-Hyder+Census+Area+Alaska,Prince+of+Wales-Hyder+Census+Area+Alaska,,,,,,,
Sitka+City+and+Borough+Alaska,Sitka+City+and+Borough+Alaska,61,49,54,46,39,52,48
Skagway+Municipality+Alaska,Skagway+Municipality+Alaska,61,49,54,46,39,52,48
Southeast+Fairbanks+Census+Area+Alaska,Southeast+Fairbanks+Census+Area+Alaska,61,49,54,46,39,52,48
Valdez-Cordova+Census+Area+Alaska,Valdez-Cordova+Census+Area+Alaska,61,49,54,46,39,52,48
Wade+Hampton+Census+Area+Alaska,Wade+Hampton+Census+Area+Alaska,61,49,54,46,39,52,48
Wrangell+City+and+Borough+Alaska,Wrangell+City+and+Borough+Alaska,61,49,54,46,39,52,48
Yakutat+City+and+Borough+Alaska,Yakutat+City+and+Borough+Alaska,61,49,54,46,39,52,48
Yukon-Koyukuk+Census+Area+Alaska,Yukon-Koyukuk+Census+Area+Alaska,61,49,54,46,39,52,48
Apache+County+Arizona,Apache+County+Arizona,25,57,21,58,27,35,44
Cochise+County+Arizona,Cochise+County+Arizona,46,53,37,52,35,37,62
Coconino+County+Arizona,Coconino+County+Arizona,51,49,57,51,36,40,57
Gila+County+Arizona,Gila+County+Arizona,37,22,44,51,34,40,42
Graham+County+Arizona,Graham+County+Arizona,30,61,31,54,32,48,45
Greenlee+County+Arizona,Greenlee+County+Arizona,45,42,32,48,40,78,50
La+Paz+County+Arizona,La+Paz+County+Arizona,24,63,25,54,27,38,34
Maricopa+County+Arizona,Maricopa+County+Arizona,34,45,53,38,50,55,47
Mohave+County+Arizona,Mohave+County+Arizona,28,62,31,46,34,30,65
